index,identifier,title,rightsP,creatorP,key,metre,tempo,genre,instrument,alternativeTitle,subject,language,relation,hasVersion,isVersionOf,coverage,lyrics,audioLink,repetiveness_ratio,rhyme
0,IE-2019-D-HLS-001,"One, two, three, four",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"One, two three, four
Anastasia at the door
Kissing Gabbie at the gate,
Five, six, seven, eight.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_001_(HS_6818_Track_18).mp3,1.5578947368421052,"1,1,2,2"
1,IE-2019-D-HLS-002,"Twenty, eighteen",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"Twenty, eighteen, sixteen, fourteen,
Twelve, ten, eight, six, four, two, none,
Nineteen, seventeen, fifteen and thirteen,
Eleven, nine, seven, five, three and one.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_007_(HS_6112_(ITMA_2192g_Track_21)).mp3,1.030674846625767,"1,2,1,2"
2,IE-2019-D-HLS-003,"The rippo, the rappo",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"The rippo, the rappo, the sailor's on the sea,
Me oh, my oh, they're after me.
Are you coming to the fair?
I went, she went, there's no fair there.
I must not miss a loopie-oh.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_013_(HS_6818_Track_16).mp3,1.098901098901099,"1,1,2,2,"
3,IE-2019-D-HLS-004,"Bluebells, cockleshells ",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"Bluebells, cockle-shells,
Eever, iver, over.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_018_(HS_6818_Track_26).mp3,2.272727272727273,","
4,IE-2019-D-HLS-005,"Skip, skip, skip to my Lou",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"Skip, skip, skip to maloo,
Skip, skip, skip to maloo,
Skip, skip, skip to maloo,
Skip to maloo, my darling.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_021_(HS_6903_Track_5_pruned).mp3,0.97196261682243,",,,"
5,IE-2019-D-HLS-006,My name is L I L I,In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"My name is L I L I
Chickalie, chickalie,
Walla waller winker,
Chinese chopsticks,
Indian chief.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_026_(HS_6818_Track_39).mp3,1.4257425742574257,"1,1,,,"
6,IE-2019-D-HLS-007,Dusty bluebells,In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"In and out goes the dusty bluebells,
In and out goes the dusty bluebells,
In and out goes the dusty bluebells,
You are the master.
Tapper-rapper-rapper on your shoulders,
Tapper-rapper-rapper on your shoulders,
Tapper-rapper-rapper on your shoulders,
You are the master.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_028_(HS_6918_Track_06).mp3,0.5777777777777777,",,,,,,,"
7,IE-2019-D-HLS-008,"A big ship sailed to the illy ally oh, song",In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"A big ship sails to the illy ally oh,
The illy ally oh, the illy ally oh,
A big ship sails to the illy ally oh,
On the last day of September.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_030_(HS_6112e_Track_08_TOO_FAINT.mp3,0.9645390070921984,",,,"
8,IE-2019-D-HLS-009,Wallflowers,In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"Wallflowers, wallflowers, growing up so high,
Especially Marie, she is the youngest child.
Oh fie, for shame, oh fie, for shame,
Turn your back against the game.
Wallflowers, wallflowers, growing up so high,
Especially Deborah, she is the youngest child.
Oh fie, for shame, oh fie, for shame,
Turn your back against the game.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_031_(HS_6818_Track_02_pruned).mp3,0.6135693215339233,"1,1,2,2,1,1,2,2"
9,IE-2019-D-HLS-010,A little thing goes wandering about,In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,English,NaN,NaN,NaN,NaN,"A little thing goes wandering about
Behind her backs and under her tracks.
See, I have got it,
See, I have got it,
Tra-la, la-la, la-la.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_033_(HS_6906_Track_12).mp3,1.2058823529411764,",,,,"
10,IE-2019-D-HLS-011,Thart fá dtaobh den bhaile,In copyright - Educational Use Permitted,"Shields, Hugh, 1929-2008 ",NaN,NaN,NaN,Childhood Music,NaN,NaN,NaN,Irish,NaN,NaN,NaN,NaN,"Thart fá dtaobh den bhaile,
Thart fá dtaobh den bhaile,
Thart fá dtaobh den bhaile,
Mar rinneamar fadó.
Amach 's isteach ar fhuinneog,
Amach 's isteach ar fhuinneog,
Amach 's isteach ar fhuinneog,
Mar rinneamar fadó.",https://s3-eu-west-1.amazonaws.com/audio.itma.ie/dustybluebells/Item_034_(HS_6832_Track_03).mp3,0.6696035242290749,",,,,,,,"
